Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,1.7,6.2,0,1.7,0,0
1,1,1,0,0,1.7,5.7,0,1.7,0,0
1,1,2,0,0,1.1,6.2,0,1.1,0,0
1,1,3,0,0,1.1,5.7,0,1.1,0,0
1,1,4,0,0,1.1,5.7,0,1.1,0,0
1,1,5,0,0,1.1,6.7,0,1.1,0,0
1,1,6,0,0,0.6,7.7,0,0.6,0,0
1,1,7,1,10,0.6,8.2,9.721,-0.328,697.372,267.295
1,1,8,38,67,0.6,6.2,88.481,0.853,6248.318,5709.647
1,1,9,544,85,0,7.7,417.831,5.284,28643.367,27524.373
1,1,10,252,171,1.1,6.2,371.34,6.776,25790.152,24757.764
1,1,11,648,116,1.1,5.2,609.958,11.98,41353.516,39803.781
1,1,12,688,93,2.2,5.7,603.154,12.694,40697.73,39172.02
1,1,13,645,84,2.8,8.8,516.701,9.443,35099.18,33770.574
1,1,14,516,66,2.8,7.7,350.397,7.485,23479.865,22514.891
1,1,15,247,39,2.2,6.7,140.352,3.699,9098.051,8498.19
1,1,16,7,5,1.1,6.7,6.354,0.139,426.294,1.161
1,1,17,0,0,0,7.7,0,0,0,0
1,1,18,0,0,-1.1,8.2,0,-1.1,0,0
1,1,19,0,0,-2.2,7.7,0,-2.2,0,0
1,1,20,0,0,-3.3,8.2,0,-3.3,0,0
1,1,21,0,0,-4.4,8.8,0,-4.4,0,0
1,1,22,0,0,-5.6,8.2,0,-5.6,0,0
1,1,23,0,0,-6.7,6.7,0,-6.7,0,0
1,2,0,0,0,-6.7,6.2,0,-6.7,0,0
1,2,1,0,0,-7.2,6.7,0,-7.2,0,0
1,2,2,0,0,-7.8,7.2,0,-7.8,0,0
1,2,3,0,0,-7.8,3.1,0,-7.8,0,0
1,2,4,0,0,-7.8,5.7,0,-7.8,0,0
1,2,5,0,0,-8.3,6.2,0,-8.3,0,0
1,2,6,0,0,-8.3,5.2,0,-8.3,0,0
1,2,7,68,18,-8.3,5.2,40.66,-8.975,2741.079,2272.649
1,2,8,405,52,-7.2,3.1,239.682,-3.007,16339.644,15567.688
1,2,9,601,73,-5.6,3.1,436.11,4.012,30010.482,28848.682
1,2,10,141,202,-4.4,2.6,329.07,3.618,23237.598,22279.551
1,2,11,17,184,-3.3,3.6,202.114,0.507,14526.223,13799.6
1,2,12,103,168,-1.7,2.6,262.506,3.809,18547.688,17718.518
1,2,13,500,128,-1.1,2.6,474.642,10.065,32254.475,31020.57
1,2,14,257,96,-1.1,1.5,246.137,6.217,16790.352,16006.897
1,2,15,152,54,-1.7,1.5,123.037,0.81,8305.108,7722.645
1,2,16,4,6,-1.7,1,6.682,-3.6,470.695,44.754
1,2,17,0,0,-1.7,0.5,0,-1.7,0,0
1,2,18,0,0,-1.7,0,0,-1.7,0,0
1,2,19,0,0,-1.7,1.5,0,-1.7,0,0
1,2,20,0,0,-1.1,3.1,0,-1.1,0,0
1,2,21,0,0,-0.6,3.1,0,-0.6,0,0
1,2,22,0,0,-0.6,3.1,0,-0.6,0,0
1,2,23,0,0,-0.6,5.2,0,-0.6,0,0
1,3,0,0,0,0,4.1,0,0,0,0
1,3,1,0,0,0,4.1,0,0,0,0
1,3,2,0,0,0.6,4.6,0,0.6,0,0
1,3,3,0,0,0.6,5.2,0,0.6,0,0
1,3,4,0,0,1.1,3.1,0,1.1,0,0
1,3,5,0,0,1.1,1.5,0,1.1,0,0
1,3,6,0,0,1.1,2.6,0,1.1,0,0
1,3,7,0,6,1.1,4.6,5.674,-0.341,409.541,0
1,3,8,6,70,1.7,5.2,75.048,1.71,5353.655,4833.433
1,3,9,4,161,1.7,5.7,176.188,3.661,12497.908,11820.219
1,3,10,1,162,2.2,4.1,167.512,4.609,11839.191,11176.991
1,3,11,7,110,2.2,3.6,112.245,3.467,7968.113,7392.956
1,3,12,3,106,2.8,4.1,105.328,3.698,7471.794,6907.305
1,3,13,5,91,3.3,4.6,91.554,3.839,6487.393,5943.73
1,3,14,2,68,3.3,1.5,67.099,3.351,4764.453,4256.182
1,3,15,2,34,3.3,2.6,33.574,2.362,2389.042,1927.353
1,3,16,0,5,3.9,3.1,4.849,2.211,346.276,0
1,3,17,0,0,5,4.1,0,5,0,0
1,3,18,0,0,5.6,4.6,0,5.6,0,0
1,3,19,0,0,5,5.2,0,5,0,0
1,3,20,0,0,4.4,7.2,0,4.4,0,0
1,3,21,0,0,4.4,5.7,0,4.4,0,0
1,3,22,0,0,3.9,6.2,0,3.9,0,0
1,3,23,0,0,3.3,7.2,0,3.3,0,0
1,4,0,0,0,2.8,7.7,0,2.8,0,0
1,4,1,0,0,1.7,7.7,0,1.7,0,0
1,4,2,0,0,1.7,7.2,0,1.7,0,0
1,4,3,0,0,1.1,6.2,0,1.1,0,0
1,4,4,0,0,1.1,7.2,0,1.1,0,0
1,4,5,0,0,0.6,7.2,0,0.6,0,0
1,4,6,0,0,0.6,4.6,0,0.6,0,0
1,4,7,19,10,3.3,7.2,15.459,2.39,1022.859,586.8
1,4,8,16,59,0.6,10.3,69.008,0.56,4917.258,4405.903
1,4,9,4,96,0,9.8,97.729,0.362,7027.414,6472.381
1,4,10,55,125,0,10.8,167.304,1.197,11951.187,11286.367
1,4,11,220,190,0,7.2,373.089,4.892,26202.641,25157.959
1,4,12,771,89,0.6,11.3,658.953,7.697,45451.91,43747.633
1,4,13,758,54,0.6,10.8,552.269,6.798,37902.742,36477.215
1,4,14,490,70,0.6,10.8,345.015,4.22,23507.801,22542.025
1,4,15,304,36,0,9.3,159.432,1.401,10374.308,9745.848
1,4,16,25,6,-1.1,11.8,11.248,-1.719,703.885,273.688
1,4,17,0,0,-2.2,11.8,0,-2.2,0,0
1,4,18,0,0,-3.3,9.8,0,-3.3,0,0
1,4,19,0,0,-3.9,9.8,0,-3.9,0,0
1,4,20,0,0,-5,10.3,0,-5,0,0
1,4,21,0,0,-5.6,9.3,0,-5.6,0,0
1,4,22,0,0,-6.1,8.8,0,-6.1,0,0
1,4,23,0,0,-7.2,8.2,0,-7.2,0,0
1,5,0,0,0,-7.8,9.3,0,-7.8,0,0
1,5,1,0,0,-8.3,8.8,0,-8.3,0,0
1,5,2,0,0,-8.9,8.8,0,-8.9,0,0
1,5,3,0,0,-9.4,7.2,0,-9.4,0,0
1,5,4,0,0,-9.4,10.3,0,-9.4,0,0
1,5,5,0,0,-10,9.3,0,-10,0,0
1,5,6,0,0,-10,6.7,0,-10,0,0
1,5,7,239,13,-10,7.7,81.917,-9.88,5087.163,4572.365
1,5,8,648,28,-10,9.3,304.457,-6.885,20696.672,19809.691
1,5,9,797,38,-9.4,9.3,496.124,-3.575,35076.723,33748.879
1,5,10,866,44,-8.3,10.3,630.412,-1.078,44899.559,43216.551
1,5,11,897,47,-7.2,9.8,697.27,1.239,49438.414,47576.484
1,5,12,892,47,-6.7,7.7,684.526,3.155,48093.457,46285.52
1,5,13,854,42,-5.6,7.2,594.097,3.287,41363.48,39813.379
1,5,14,762,34,-5,8.2,434.95,0.735,29817.527,28661.82
1,5,15,541,24,-5.6,7.7,222.952,-2.955,14380.421,13657.377
1,5,16,89,6,-6.7,5.7,25.214,-7.307,1462.833,1018.613
1,5,17,0,0,-7.2,5.7,0,-7.2,0,0
1,5,18,0,0,-7.8,6.2,0,-7.8,0,0
1,5,19,0,0,-8.3,6.7,0,-8.3,0,0
1,5,20,0,0,-8.9,6.2,0,-8.9,0,0
