Name,Af_m2,Aroof_m2,GFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
Z0003,11318.286,1943.315,13758.480,339.000,0.000,0.000,0.000,1294.369,4.278,0.000,686.979,0.000,1528.553,0.000,0.000,0.000,0.000,206.175,754.529,0.000,0.000,0.000,0.000,,754.529,0.000,0.000,234.184,581.603,0.000,0.000,0.000,99.305,206.011,504.017,0.000,0.000,0.000,0.000,0.000,0.000,549.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,549.583,0.000,0.000,0.000,0.000,0.000,0.000,1617.961,292.730,0.000,0.000,0.000,,0.000,0.000,0.000,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.175,0.000,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,1134.649,0.000,0.000,0.000,9.073,0.000,0.000,75.888,,1294.369,0.000,0.000,79.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1134.649,0.000,0.000,0.000,1134.649,0.000,0.000,504.017,0.000,0.000,0.000,754.138,49.860,0.000,223.198,504.017,0.000,0.000,150.647
Z0004,3120.719,721.069,3685.563,246.000,0.000,0.000,0.000,281.187,1.656,0.000,195.735,0.000,334.654,0.000,0.000,0.000,0.000,74.485,287.694,0.000,0.000,0.000,0.000,,287.694,0.000,0.000,53.466,161.367,0.000,0.000,0.000,20.180,74.472,143.201,0.000,0.000,0.000,0.000,0.000,0.000,156.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156.588,0.000,0.000,0.000,0.000,0.000,0.000,351.484,66.833,0.000,0.000,0.000,,0.000,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.485,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,247.886,0.000,0.000,0.000,2.709,0.000,0.000,14.850,,281.187,0.000,0.000,16.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,247.886,0.000,0.000,0.000,247.886,0.000,0.000,143.201,0.000,0.000,0.000,287.637,12.202,0.000,47.701,143.201,0.000,0.000,30.592
Z0010,16301.948,5060.975,20650.357,713.000,0.000,0.000,0.000,474.992,5.007,0.000,486.561,0.000,786.926,0.000,0.000,0.000,0.000,325.042,1209.742,0.000,0.000,0.000,0.000,,1209.742,0.000,0.000,311.935,416.307,0.000,0.000,0.000,128.235,324.857,354.381,0.000,0.000,0.000,0.000,0.000,0.000,389.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,389.249,0.000,0.000,0.000,0.000,0.000,0.000,593.739,389.919,0.000,0.000,0.000,,0.000,0.000,0.000,0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,325.042,0.000,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,420.685,0.000,0.000,0.000,5.682,0.000,0.000,99.083,,474.992,0.000,0.000,102.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,420.685,0.000,0.000,0.000,420.685,0.000,0.000,354.381,0.000,0.000,0.000,1209.389,30.282,0.000,301.063,354.381,0.000,0.000,48.624
Z0012,14398.262,3322.959,17550.641,440.000,0.000,0.000,0.000,1109.366,4.782,0.000,643.451,1.800,1427.419,0.000,0.000,0.000,0.000,253.946,923.261,0.000,0.000,0.000,0.000,,923.261,0.000,0.000,301.688,562.576,0.000,0.000,0.000,129.107,253.620,471.366,0.000,0.000,0.000,0.000,0.000,0.000,514.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,514.761,0.000,0.000,0.000,0.000,0.000,0.000,1386.708,377.109,0.000,0.000,0.000,,0.000,0.000,0.000,0.233,0.000,0.000,0.000,16.365,0.412,0.000,0.000,253.946,0.000,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,973.869,0.000,0.000,0.000,9.316,0.000,0.000,99.628,,1109.366,0.000,0.000,103.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,973.869,0.000,0.000,0.000,973.869,0.000,3.743,471.366,0.000,0.000,0.000,921.029,44.881,0.000,290.561,471.366,0.000,0.000,126.181
Z0013,13536.896,3898.149,16090.470,587.000,0.000,0.000,0.000,1168.871,4.861,0.000,662.560,17.223,1567.315,0.000,0.000,0.000,0.000,254.516,988.288,0.000,0.000,0.000,0.000,,988.288,0.000,0.000,241.875,569.997,0.000,0.000,0.000,88.566,251.805,485.536,0.000,0.000,0.000,0.000,0.000,0.000,530.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,530.048,0.000,0.000,0.000,0.000,0.000,0.000,1461.088,302.344,0.000,0.000,0.000,,0.000,0.000,0.000,0.125,0.000,0.000,0.000,156.569,3.939,0.000,0.000,254.516,0.000,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,1025.865,0.000,0.000,0.000,9.676,0.000,0.000,67.345,,1168.871,0.000,0.000,70.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1025.865,0.000,0.000,0.000,1025.865,0.000,35.806,485.536,0.000,0.000,0.000,970.856,47.459,0.000,229.411,485.536,0.000,0.000,133.330
Z0015,10924.645,2570.506,13322.738,333.000,0.000,0.000,0.000,371.123,3.808,0.000,324.346,0.000,601.344,0.000,0.000,0.000,0.000,192.003,696.620,0.000,0.000,0.000,0.000,,696.620,0.000,0.000,230.221,289.065,0.000,0.000,0.000,98.832,191.847,235.802,0.000,0.000,0.000,0.000,0.000,0.000,259.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,259.476,0.000,0.000,0.000,0.000,0.000,0.000,463.904,287.776,0.000,0.000,0.000,,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,192.003,0.000,0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,327.431,0.000,0.000,0.000,5.041,0.000,0.000,75.993,,371.123,0.000,0.000,79.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,327.431,0.000,0.000,0.000,327.431,0.000,0.000,235.802,0.000,0.000,0.000,696.341,19.869,0.000,220.917,235.802,0.000,0.000,38.651
Z0020,11513.512,3066.842,14040.869,351.000,0.000,0.000,0.000,379.684,3.858,0.000,335.515,0.000,621.674,0.000,0.000,0.000,0.000,202.351,734.162,0.000,0.000,0.000,0.000,,734.162,0.000,0.000,241.990,299.395,0.000,0.000,0.000,103.887,202.189,243.997,0.000,0.000,0.000,0.000,0.000,0.000,268.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,268.412,0.000,0.000,0.000,0.000,0.000,0.000,474.605,302.487,0.000,0.000,0.000,,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,202.351,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,335.158,0.000,0.000,0.000,5.053,0.000,0.000,80.089,,379.684,0.000,0.000,83.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,335.158,0.000,0.000,0.000,335.158,0.000,0.000,243.997,0.000,0.000,0.000,733.876,20.559,0.000,232.825,243.997,0.000,0.000,39.473
Z0021,9907.239,2609.192,12003.912,277.000,0.000,0.000,0.000,952.925,3.472,0.000,521.534,0.000,1153.720,0.000,0.000,0.000,0.000,167.237,608.186,0.000,0.000,0.000,0.000,,608.186,0.000,0.000,200.795,447.075,0.000,0.000,0.000,82.605,167.219,382.428,0.000,0.000,0.000,0.000,0.000,0.000,417.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,417.227,0.000,0.000,0.000,0.000,0.000,0.000,1191.156,250.994,0.000,0.000,0.000,,0.000,0.000,0.000,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,167.237,0.000,0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,835.843,0.000,0.000,0.000,7.150,0.000,0.000,63.300,,952.925,0.000,0.000,66.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,835.843,0.000,0.000,0.000,835.843,0.000,0.000,382.428,0.000,0.000,0.000,607.868,37.477,0.000,191.609,382.428,0.000,0.000,109.932
Z0024,11090.370,2526.363,13524.842,338.000,0.000,0.000,0.000,952.584,3.434,0.000,539.733,0.000,1185.797,0.000,0.000,0.000,0.000,195.040,707.425,0.000,0.000,0.000,0.000,,707.425,0.000,0.000,233.212,467.320,0.000,0.000,0.000,99.950,194.758,395.920,0.000,0.000,0.000,0.000,0.000,0.000,431.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,431.786,0.000,0.000,0.000,0.000,0.000,0.000,1190.730,291.515,0.000,0.000,0.000,,0.000,0.000,0.000,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,195.040,0.000,0.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,836.796,0.000,0.000,0.000,6.841,0.000,0.000,77.145,,952.584,0.000,0.000,79.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,836.796,0.000,0.000,0.000,836.796,0.000,0.000,395.920,0.000,0.000,0.000,706.904,38.065,0.000,224.268,395.920,0.000,0.000,108.948
Z0025,102.552,56.973,113.946,11.000,0.000,1.500,3.570,31.137,0.512,0.000,34.064,2.436,55.467,0.000,0.000,0.000,0.000,5.531,13.958,0.000,0.000,0.000,-0.346,,13.423,0.000,0.000,2.186,30.132,0.000,0.000,5.722,1.878,3.559,24.329,0.000,0.000,0.000,0.000,0.000,0.000,27.251,0.000,0.000,0.000,0.000,0.000,0.000,-0.227,0.000,0.000,-2.366,27.251,0.000,0.000,0.000,-3.186,0.000,0.000,38.921,2.732,0.535,0.000,0.000,,0.000,12.901,-1.273,0.019,0.000,0.000,-0.038,22.145,0.557,0.000,-0.878,4.116,0.000,0.014,0.000,-1.686,0.000,0.000,0.000,0.000,0.000,,3.570,0.000,0.000,0.000,26.781,0.000,0.000,0.000,0.548,0.000,0.000,0.881,,31.137,0.000,0.000,1.502,-0.809,0.000,0.000,0.000,0.000,0.000,0.000,2.474,0.000,26.781,0.000,0.000,0.000,26.781,0.000,5.064,24.329,0.000,0.000,0.000,10.973,2.410,0.000,1.264,24.329,12.901,-1.204,3.807
Z0026,9897.798,1891.533,12070.486,302.000,0.000,0.000,0.000,538.800,3.615,0.000,388.092,0.000,747.928,0.000,0.000,0.000,0.000,173.957,631.162,0.000,0.000,0.000,0.000,,631.162,0.000,0.000,209.128,339.523,0.000,0.000,0.000,89.709,173.815,283.625,0.000,0.000,0.000,0.000,0.000,0.000,310.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,310.474,0.000,0.000,0.000,0.000,0.000,0.000,673.500,261.410,0.000,0.000,0.000,,0.000,0.000,0.000,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,173.957,0.000,0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,474.946,0.000,0.000,0.000,5.725,0.000,0.000,68.850,,538.800,0.000,0.000,71.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,474.946,0.000,0.000,0.000,474.946,0.000,0.000,283.625,0.000,0.000,0.000,630.889,23.743,0.000,200.152,283.625,0.000,0.000,58.128
